Text,Start,End
也,0,0.883061224489796
了解,0.883061224489796,2.3033560090702947
件,2.3033560090702947,3.4378911564625847
企,3.4378911564625847,4.397052154195011
伴舞,4.397052154195011,5.782675736961451
何,5.782675736961451,6.859319727891156
你,6.859319727891156,7.868004535147392
偉大,7.868004535147392,9.279319727891156
偶然,9.279319727891156,10.614671201814058
優雅,10.614671201814058,11.922312925170068
儲存,11.922312925170068,13.469183673469388
免,13.469183673469388,14.606780045351474
冷淡,14.606780045351474,16.12922902494331
勇,16.12922902494331,17.239637188208615
勇敢,17.239637188208615,18.434784580498864
友情,18.434784580498864,19.688843537414964
口吻,19.688843537414964,21.147301587301584
器皿,21.147301587301584,22.612585034013602
奶,22.612585034013602,23.599206349206344
小鳥,23.599206349206344,25.07682539682539
展覽,25.07682539682539,26.43303854875283
廟宇,26.43303854875283,27.85274376417233
引,27.85274376417233,28.963424036281175
往,28.963424036281175,29.912448979591833
快艇,29.912448979591833,31.416417233560086
惘,31.416417233560086,32.57621315192743
懶,32.57621315192743,33.586190476190474
我,33.586190476190474,34.531020408163265
挽救,34.531020408163265,35.88081632653061
敏感,35.88081632653061,37.20650793650794
晚,37.20650793650794,38.15292517006803
有些,38.15292517006803,39.440657596371885
朗,39.440657596371885,40.56634920634921
染,40.56634920634921,41.67507936507937
權,41.67507936507937,42.72954648526078
武,42.72954648526078,43.696712018140595
母語,43.696712018140595,45.03315192743764
每,45.03315192743764,46.08002267573696
永,46.08002267573696,47.2284126984127
温暖,47.2284126984127,48.65990929705215
滿,48.65990929705215,49.75632653061224
煩惱,49.75632653061224,51.187460317460314
牛腩,51.187460317460314,52.43219954648526
猛獸,52.43219954648526,53.866303854875284
理,53.866303854875284,54.85104308390023
眼,54.85104308390023,55.79573696145125
碼,55.79573696145125,56.77920634920635
神,56.77920634920635,57.89092970521542
禮,57.89092970521542,58.786485260770974
秒,58.786485260770974,59.74408163265306
笑,59.74408163265306,60.89875283446712
第,60.89875283446712,61.9112925170068
糯米,61.9112925170068,63.19503401360544
網站,63.19503401360544,64.63247165532879
署,64.63247165532879,65.71648526077097
美,65.71648526077097,66.65541950113378
腦,66.65541950113378,67.585873015873
與,67.585873015873,68.58564625850339
螞蟻,68.58564625850339,69.92523809523809
行李,69.92523809523809,71.24290249433106
買,71.24290249433106,72.34079365079364
路,72.34079365079364,73.3548752834467
軟化,73.3548752834467,74.66902494331065
過癮,74.66902494331065,75.92564625850339
遠,75.92564625850339,77.0568707482993
野豬,77.0568707482993,78.35115646258502
領先,78.35115646258502,79.79287981859409
風雨,79.79287981859409,81.24224489795917
馬尾,81.24224489795917,82.6581632653061
魯莽,82.6581632653061,84.08315192743764
